url,nome,categoria,pagina,data_coleta
https://www.paodeacucar.com/produto/129607/pacoquinha-de-amendoim-tradicional-brasileira-yoki-pote-352g,pacoquinha de amendoim tradicional brasileira yoki pote 352g,Doces e Sobremesas,1,2025-06-22T03:17:05.958377
https://www.paodeacucar.com/produto/1626676/chocolate-ao-leite-lacta-pacote-145g-tamanho-familia,chocolate ao leite lacta pacote 145g tamanho familia,Doces e Sobremesas,1,2025-06-22T03:17:05.958379
https://www.paodeacucar.com/produto/1599561/chocolate-lindt-classic-barra-ao-leite-90g,chocolate lindt classic barra ao leite 90g,Doces e Sobremesas,1,2025-06-22T03:17:05.958382
https://www.paodeacucar.com/produto/1462261/chocolate-crunch-tablete-80g,chocolate crunch tablete 80g,Doces e Sobremesas,2,2025-06-22T03:17:29.539802
https://www.paodeacucar.com/produto/129607/pacoquinha-de-amendoim-tradicional-brasileira-yoki-pote-352g,pacoquinha de amendoim tradicional brasileira yoki pote 352g,Doces e Sobremesas,2,2025-06-22T03:17:29.539829
https://www.paodeacucar.com/produto/1626676/chocolate-ao-leite-lacta-pacote-145g-tamanho-familia,chocolate ao leite lacta pacote 145g tamanho familia,Doces e Sobremesas,2,2025-06-22T03:17:29.539836
https://www.paodeacucar.com/produto/1599561/chocolate-lindt-classic-barra-ao-leite-90g,chocolate lindt classic barra ao leite 90g,Doces e Sobremesas,2,2025-06-22T03:17:29.539841
https://www.paodeacucar.com/produto/658759/bis-xtra-original--ao-leite-(wafer-recheado-e-com-cobertura-de-chocolate-ao-leite)-45g,bis xtra original  ao leite (wafer recheado e com cobertura de chocolate ao leite) 45g,Doces e Sobremesas,2,2025-06-22T03:17:29.539845
https://www.paodeacucar.com/produto/1070275/chocolate-meio-amargo-com-amendoas-garoto-talento-pacote-85g,chocolate meio amargo com amendoas garoto talento pacote 85g,Doces e Sobremesas,2,2025-06-22T03:17:29.539850
https://www.paodeacucar.com/produto/466057/chocolate-special-dark-tradicional-60-hersheys---85g,chocolate special dark tradicional 60 hersheys   85g,Doces e Sobremesas,2,2025-06-22T03:17:29.539856
